,GUID,type,Manufacturer,Category,Family,Material,Roughness,ArticleNumber,Leveringsprogramma,Omschrijving,Artikelnummer,Afmetingen,System Type,System Abbreviation,Type,Afmeting,Buis type,Lengte,Afmetingen [mm],System Name,InvertElevation,Systeemtype,Systeemnaam,Binnendiameter,Kanaaltype,Diameter,Verbindingstype,Debiet
Pset_ManufacturerTypeInformation,1JHmlGybnEgfJzg12rD6oB,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,37WUPJwdb3Z9ScxQNBYVd6,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ProductRequirements,1pfTq3AHL9GPxAqiCdMgMS,IfcBuildingElementProxy,,Duct Accessories,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3rStKB7dHA3ht$CcUIUl_m,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,37WUPJwdb3Z9ScxQNBYVJ6,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ProductRequirements,2yxDj139L3APe0fUNyImoO,IfcBuildingElementProxy,,Duct Accessories,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ProductRequirements,1iRnjW8x96TOkxG85_Uwew,IfcBuildingElementProxy,,Duct Accessories,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1U1SYwMkH1U98wWHxrdhjp,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,2_FFy5w4f5gR_BNXeTyjEm,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1JHmlGybnEgfJzg12rD6j7,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3benIB0jv82fBm165ihTpx,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1JHmlGybnEgfJzg12rD6eZ,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1l$kDBjsP5EhEiHfaY2CE3,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3benIB0jv82fBm165ihT_7,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,39xH8hzxnEVQQlAcyKUxPF,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ProductRequirements,1pfTq3AHL9GPxAqiCdMg0_,IfcBuildingElementProxy,,Duct Accessories,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,2_FFy5w4f5gR_BNXeTyjKn,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3$jO3xPMT3GuoR_IvX0gJX,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,37WUPJwdb3Z9ScxQNBYVLu,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3benIB0jv82fBm165ihTjy,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1y8PcUpIX9sAPHe7Yqj3fo,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ProductRequirements,1pfTq3AHL9GPxAqiCdMg5v,IfcBuildingElementProxy,,Duct Accessories,,,,,,,,,,,,,,,,,,,,,,,,
