,GUID,type,Manufacturer,Category,Family,Material,Roughness,ArticleNumber,Leveringsprogramma,Omschrijving,Artikelnummer,Afmetingen,System Type,System Abbreviation,Type,Afmeting,Buis type,Lengte,Afmetingen [mm],System Name,InvertElevation,Systeemtype,Systeemnaam,Binnendiameter,Kanaaltype,Diameter,Verbindingstype,Debiet
Pset_ManufacturerTypeInformation,292evus617$OApahGDVmjl,IfcFlowFitting,Luka,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1bndFAdDX3YfNURezjGB2c,IfcFlowFitting,DYKA AIR,,,,,20048351,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,0p4Dd5cGH7Yhtvm3tNpRJC,IfcFlowFitting,Geberit,,,,,20104,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3$jO3xPMT3GuoR_IvX0gJl,IfcFlowFitting,Geberit,,,,,20604,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1dIGsmQ$D2DR61PxRm65lQ,IfcFlowFitting,,,,,,C01070060000003,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,2QMeqm79z5kf6JsOx79vDE,IfcFlowFitting,DYKA AIR,,,,,20042440,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1tUi7aLWX7OxgtQOalep0y,IfcFlowFitting,,,,,,20042260,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,2VaI4SygvBv8L$YbXvnjzJ,IfcFlowFitting,,,,,,20042257,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,2VaI4SygvBv8L$YbXvnjwJ,IfcFlowFitting,DYKA AIR,,,,,20048484,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,370jmIjvzE6fdF2nzEJ9hS,IfcFlowFitting,,,,,,C01070060000003,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3j1plGtxrFmRuJqjDHGckl,IfcFlowFitting,DYKA AIR,,,,,20048351,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1y8PcUpIX9sAPHe7Yqj3gM,IfcFlowFitting,Geberit,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3j1plGtxrFmRuJqjDHGd3l,IfcFlowFitting,DYKA AIR,,,,,20042440,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1U1SYwMkH1U98wWHxrdhi$,IfcFlowFitting,Geberit,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3srtZGj1fCyeZo32_lQ1fC,IfcFlowFitting,Geberit,,,,,20604,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3j1plGtxrFmRuJqjDHGcib,IfcFlowFitting,DYKA AIR,,,,,20042440,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3benIB0jv82fBm165ihT_t,IfcFlowFitting,Geberit,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1U1SYwMkH1U98wWHxrdhfY,IfcFlowFitting,Geberit,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,0NCn_ksxj1q87ZEjdzBhYm,IfcFlowFitting,DYKA AIR,,,,,20042253,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,31nAlRRgf8yf4O4e8F3Asl,IfcFlowFitting,Geberit,,,,,20104,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1bndFAdDX3YfNURezjGB2O,IfcFlowFitting,DYKA AIR,,,,,20049724,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3j1plGtxrFmRuJqjDHGd9C,IfcFlowFitting,DYKA AIR,,,,,20042253,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3benIB0jv82fBm165ihT2A,IfcFlowFitting,Geberit,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,36lBQYL5HDIR6W8bWfCCGG,IfcFlowFitting,Luka,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1iRnjW8x96TOkxG85_UwTd,IfcFlowFitting,Luka,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,39xH8hzxnEVQQlAcyKUx0G,IfcFlowFitting,Geberit,,,,,21004,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,36lBQYL5HDIR6W8bWfCCG2,IfcFlowFitting,Luka,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1JHmlGybnEgfJzg12rD57L,IfcFlowFitting,Geberit,,,,,20604,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,2_FFy5w4f5gR_BNXeTyjOi,IfcFlowFitting,Geberit,,,,,20104,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1tHGVEGln5YR3a_F2JdebK,IfcFlowFitting,Geberit,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3benIB0jv82fBm165ihTpq,IfcFlowFitting,Geberit,,,,,20104,,,,,,,,,,,,,,,,,,,,
Pset_ProductRequirements,0Ot3Fv495F1BA__ahRLOSD,IfcFlowFitting,,Duct Fittings,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,36lBQYL5HDIR6W8bWfCCG0,IfcFlowFitting,Luka,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,0iyJ9j61D9wecCd2PhTn1o,IfcFlowFitting,DYKA AIR,,,,,20048484,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1l$kDBjsP5EhEiHfaY2CA6,IfcFlowFitting,Geberit,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3benIB0jv82fBm165ihTi1,IfcFlowFitting,Geberit,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1KAE2UBgvDmfcPk0bZhQJx,IfcFlowFitting,,,,,,C01070114000003,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3rStKB7dHA3ht$CcUIUlZ9,IfcFlowFitting,Geberit,,,,,21218,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3iT7GDDl9Cgu_oeYi3d2ec,IfcFlowFitting,DYKA AIR,,,,,20048351,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,39xH8hzxnEVQQlAcyKUx0Q,IfcFlowFitting,Geberit,,,,,20104,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1iRnjW8x96TOkxG85_UwwA,IfcFlowFitting,Velu,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,2VaI4SygvBv8L$YbXvnjdT,IfcFlowFitting,DYKA AIR,,,,,20048351,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1l$kDBjsP5EhEiHfaY2CDH,IfcFlowFitting,Geberit,,,,,20104,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,37WUPJwdb3Z9ScxQNBYVQy,IfcFlowFitting,Geberit,,,,,22316,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,2_FFy5w4f5gR_BNXeTyiaF,IfcFlowFitting,Geberit,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,36lBQYL5HDIR6W8bWfCCGA,IfcFlowFitting,Velu,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,31nAlRRgf8yf4O4e8F3DEX,IfcFlowFitting,Geberit,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,37WUPJwdb3Z9ScxQNBYVL_,IfcFlowFitting,Geberit,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,37WUPJwdb3Z9ScxQNBYVG0,IfcFlowFitting,Geberit,,,,,20104,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,2yq70TTAfAfPI5NM5JGYmd,IfcFlowFitting,Luka,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3UlIpvXWHAj91YGjZE51q1,IfcFlowFitting,DYKA AIR,,,,,20042253,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3rStKB7dHA3ht$CcUIUlZp,IfcFlowFitting,Geberit,,,,,20604,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,292evus617$OApahGDVmN3,IfcFlowFitting,Luka,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3UlIpvXWHAj91YGjZE51tR,IfcFlowFitting,DYKA AIR,,,,,20042253,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1y8PcUpIX9sAPHe7Yqj3Jx,IfcFlowFitting,Geberit,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,2_FFy5w4f5gR_BNXeTyjUh,IfcFlowFitting,Geberit,,,,,20104,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3j1plGtxrFmRuJqjDHGdRO,IfcFlowFitting,DYKA AIR,,,,,20042267,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,37WUPJwdb3Z9ScxQNBYVkt,IfcFlowFitting,Geberit,,,,,20104,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,2_FFy5w4f5gR_BNXeTyjVP,IfcFlowFitting,Geberit,,,,,21223,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1JHmlGybnEgfJzg12rD6uc,IfcFlowFitting,Geberit,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,2HLTl_3lz8_8VESlTRY7fh,IfcFlowFitting,,,,,,C01070114000003,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3B_o5u8vLA4v0fi7h576gK,IfcFlowFitting,Geberit,,,,,22008,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,37WUPJwdb3Z9ScxQNBYVL5,IfcFlowFitting,Geberit,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,2VaI4SygvBv8L$YbXvnjz2,IfcFlowFitting,DYKA AIR,,,,,20048351,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1JHmlGybnEgfJzg12rD6r0,IfcFlowFitting,Geberit,,,,,20104,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3iT7GDDl9Cgu_oeYi3d2gf,IfcFlowFitting,DYKA AIR,,,,,20049725,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3UlIpvXWHAj91YGjZE51iu,IfcFlowFitting,DYKA AIR,,,,,20042253,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1l$kDBjsP5EhEiHfaY2Crq,IfcFlowFitting,Geberit,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1yCxHIoA9EP8BHEN8M7AO5,IfcFlowFitting,Geberit,,,,,21218,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,2qUmDxrWf0qAOgpVy5CtJP,IfcFlowFitting,Geberit,,,,,20215,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,0b3BgSczDBSh86SByWXcJ3,IfcFlowFitting,Geberit,,,,,20604,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1pfTq3AHL9GPxAqiCdMgMn,IfcFlowFitting,Luka,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,20jEsHmrHDXufDzH4yilwL,IfcFlowFitting,Luka,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,31nAlRRgf8yf4O4e8F3DUv,IfcFlowFitting,Geberit,,,,,21218,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,2_FFy5w4f5gR_BNXeTyjA5,IfcFlowFitting,Geberit,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3srtZGj1fCyeZo32_lQ1d3,IfcFlowFitting,Geberit,,,,,20604,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,37WUPJwdb3Z9ScxQNBYVg3,IfcFlowFitting,Geberit,,,,,20104,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1l$kDBjsP5EhEiHfaY2C1O,IfcFlowFitting,Geberit,,,,,20104,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1l$kDBjsP5EhEiHfaY2CC1,IfcFlowFitting,Geberit,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1l$kDBjsP5EhEiHfaY2Crm,IfcFlowFitting,Geberit,,,,,20104,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1pfTq3AHL9GPxAqiCdMgMm,IfcFlowFitting,Luka,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1yCxHIoA9EP8BHEN8M7AO3,IfcFlowFitting,Geberit,,,,,20104,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,2VaI4SygvBv8L$YbXvnja1,IfcFlowFitting,DYKA AIR,,,,,20042440,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1pfTq3AHL9GPxAqiCdMg8M,IfcFlowFitting,Velu,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,39xH8hzxnEVQQlAcyKUx23,IfcFlowFitting,Geberit,,,,,21218,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1tUi7aLWX7OxgtQOalep_Z,IfcFlowFitting,DYKA AIR,,,,,20048351,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,292evus617$OApahGDVmNA,IfcFlowFitting,Luka,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1JHmlGybnEgfJzg12rD6cZ,IfcFlowFitting,Geberit,,,,,20104,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,37WUPJwdb3Z9ScxQNBYVew,IfcFlowFitting,Geberit,,,,,20104,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,0iyJ9j61D9wecCd2PhTn4A,IfcFlowFitting,DYKA AIR,,,,,20049725,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,0MDmm4bPD2$vL6z9sjISQ0,IfcFlowFitting,DYKA AIR,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,0RVcPE4S9Aa9GDFmWDTsD6,IfcFlowFitting,Geberit,,,,,20104,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,2VaI4SygvBv8L$YbXvnkzw,IfcFlowFitting,DYKA AIR,,,,,20048351,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1U1SYwMkH1U98wWHxrdhZn,IfcFlowFitting,Geberit,,,,,20104,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3j1plGtxrFmRuJqjDHGct8,IfcFlowFitting,DYKA AIR,,,,,20049725,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,39xH8hzxnEVQQlAcyKUxqh,IfcFlowFitting,Geberit,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,36lBQYL5HDIR6W8bWfCDhX,IfcFlowFitting,Velu,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,37WUPJwdb3Z9ScxQNBYVlN,IfcFlowFitting,Geberit,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1fyXbaO9L1S86tOCEELwtf,IfcFlowFitting,DYKA AIR,,,,,20042440,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,39xH8hzxnEVQQlAcyKUxCg,IfcFlowFitting,Geberit,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1l$kDBjsP5EhEiHfaY2CBw,IfcFlowFitting,Geberit,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,0p4Dd5cGH7Yhtvm3tNpRJt,IfcFlowFitting,Geberit,,,,,20104,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,370jmIjvzE6fdF2nzEJ8RS,IfcFlowFitting,,,,,,C01070060000003,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,2_FFy5w4f5gR_BNXeTyiZR,IfcFlowFitting,Geberit,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,31nAlRRgf8yf4O4e8F3DFs,IfcFlowFitting,Geberit,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3j1plGtxrFmRuJqjDHGdRz,IfcFlowFitting,DYKA AIR,,,,,20049725,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1dIGsmQ$D2DR61PxRm64jo,IfcFlowFitting,Geberit,,,,,23108,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1tHGVEGln5YR3a_F2JdevN,IfcFlowFitting,Geberit,,,,,20604,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,39xH8hzxnEVQQlAcyKUx2D,IfcFlowFitting,Geberit,,,,,20104,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1dIGsmQ$D2DR61PxRm65Kg,IfcFlowFitting,Geberit,,,,,23108,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3rStKB7dHA3ht$CcUIUlvo,IfcFlowFitting,Geberit,,,,,20104,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,0b3BgSczDBSh86SByWXcJD,IfcFlowFitting,Geberit,,,,,21004,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3iT7GDDl9Cgu_oeYi3d5EK,IfcFlowFitting,DYKA AIR,,,,,20049725,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,0iyJ9j61D9wecCd2PhTmuU,IfcFlowFitting,DYKA AIR,,,,,20048484,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3iT7GDDl9Cgu_oeYi3d5EO,IfcFlowFitting,DYKA AIR,,,,,20042440,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,370jmIjvzE6fdF2nzEJ8RQ,IfcFlowFitting,Victaulic,,,,,F00250089000014,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,0AjQ0JY9b03RhCYTYmXEl9,IfcFlowFitting,DYKA AIR,,,,,20048351,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1yCxHIoA9EP8BHEN8M7BY9,IfcFlowFitting,Geberit,,,,,21223,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,0iyJ9j61D9wecCd2PhTmyZ,IfcFlowFitting,DYKA AIR,,,,,20042253,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,37WUPJwdb3Z9ScxQNBYV93,IfcFlowFitting,Geberit,,,,,20104,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1yCxHIoA9EP8BHEN8M7AVL,IfcFlowFitting,Geberit,,,,,21223,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1pfTq3AHL9GPxAqiCdMg2$,IfcFlowFitting,Velu,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1iRnjW8x96TOkxG85_UwTz,IfcFlowFitting,Luka,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,0MDmm4bPD2$vL6z9sjISMB,IfcFlowFitting,DYKA AIR,,,,,20042253,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3rStKB7dHA3ht$CcUIUl$x,IfcFlowFitting,Geberit,,,,,20104,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1dIGsmQ$D2DR61PxRm65rE,IfcFlowFitting,Geberit,,,,,23107,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,370jmIjvzE6fdF2nzEJBJn,IfcFlowFitting,Geberit,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1tUi7aLWX7OxgtQOalep0c,IfcFlowFitting,DYKA AIR,,,,,20048351,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3rStKB7dHA3ht$CcUIUla6,IfcFlowFitting,Geberit,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,2_FFy5w4f5gR_BNXeTyjMP,IfcFlowFitting,Geberit,,,,,20104,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1tUi7aLWX7OxgtQOalep04,IfcFlowFitting,DYKA AIR,,,,,20048351,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,0iyJ9j61D9wecCd2PhTn08,IfcFlowFitting,DYKA AIR,,,,,20048484,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,292evus617$OApahGDVmMi,IfcFlowFitting,Luka,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1pfTq3AHL9GPxAqiCdMg8L,IfcFlowFitting,Luka,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,0p4Dd5cGH7Yhtvm3tNpRJ3,IfcFlowFitting,Geberit,,,,,20104,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,0iyJ9j61D9wecCd2PhTmye,IfcFlowFitting,DYKA AIR,,,,,20042267,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1U1SYwMkH1U98wWHxrdhfo,IfcFlowFitting,Geberit,,,,,20104,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,39xH8hzxnEVQQlAcyKUx1o,IfcFlowFitting,Geberit,,,,,20104,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1yCxHIoA9EP8BHEN8M7AVJ,IfcFlowFitting,Geberit,,,,,20104,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3benIB0jv82fBm165ihTDt,IfcFlowFitting,Geberit,,,,,21223,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,37WUPJwdb3Z9ScxQNBYVfK,IfcFlowFitting,Geberit,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,2lmDHuy656zeAOJ$LDd9Z1,IfcFlowFitting,Geberit,,,,,22008,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,0NCn_ksxj1q87ZEjdzBhmJ,IfcFlowFitting,,,,,,20042258,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3iT7GDDl9Cgu_oeYi3d54P,IfcFlowFitting,DYKA AIR,,,,,20042440,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,2qUmDxrWf0qAOgpVy5CtUi,IfcFlowFitting,Geberit,,,,,20604,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,0iyJ9j61D9wecCd2PhTnD$,IfcFlowFitting,DYKA AIR,,,,,20042440,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,37WUPJwdb3Z9ScxQNBYV6x,IfcFlowFitting,Geberit,,,,,20104,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1l$kDBjsP5EhEiHfaY2C3G,IfcFlowFitting,Geberit,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1pfTq3AHL9GPxAqiCdMg1D,IfcFlowFitting,Luka,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1JHmlGybnEgfJzg12rD6cm,IfcFlowFitting,Geberit,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3iT7GDDl9Cgu_oeYi3d2eg,IfcFlowFitting,DYKA AIR,,,,,20048351,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1U1SYwMkH1U98wWHxrdgUG,IfcFlowFitting,Geberit,,,,,23107,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1iRnjW8x96TOkxG85_UweQ,IfcFlowFitting,Luka,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,39xH8hzxnEVQQlAcyKUxPw,IfcFlowFitting,Geberit,,,,,20104,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,2_FFy5w4f5gR_BNXeTyjML,IfcFlowFitting,Geberit,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3iT7GDDl9Cgu_oeYi3d2ek,IfcFlowFitting,DYKA AIR,,,,,20042440,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,0eYKoSOwn16AeNdFikC42U,IfcFlowFitting,DYKA AIR,,,,,20042253,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3benIB0jv82fBm165ihTJA,IfcFlowFitting,Geberit,,,,,20104,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1bLozvXvz6MPLhrg47kwvr,IfcFlowFitting,Victaulic,,,,,F00120114000002,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,0yR9KoiTj6ygG1SiLGllaQ,IfcFlowFitting,Geberit,,,,,22309,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1pfTq3AHL9GPxAqiCdMg4K,IfcFlowFitting,Luka,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,2VaI4SygvBv8L$YbXvnjcX,IfcFlowFitting,DYKA AIR,,,,,20048351,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3mTYyc5f97JgqFYnQWfKRh,IfcFlowFitting,DYKA AIR,,,,,20047628,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,31nAlRRgf8yf4O4e8F3DEG,IfcFlowFitting,Geberit,,,,,20104,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1JHmlGybnEgfJzg12rD561,IfcFlowFitting,Geberit,,,,,21004,,,,,,,,,,,,,,,,,,,,
Pset_ProductRequirements,2IuBl6o_1FIPOV79Fo5vR8,IfcFlowFitting,,Duct Fittings,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,2p6UE7el1148X6lFZ_CSvj,IfcFlowFitting,DYKA AIR,,,,,20042268,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,2yxDj139L3APe0fUNyImA8,IfcFlowFitting,DYKA AIR,,,,,20042440,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,2yxDj139L3APe0fUNyImit,IfcFlowFitting,Luka,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,37WUPJwdb3Z9ScxQNBYVGj,IfcFlowFitting,Geberit,,,,,,,,,,,,,,,,,,,,,,,,,
